region;culture;Date;Production en tonne;Superficie en ha;Rendement kg/ha
REGION DE FATICK;NIEBE;2018;4441.12584092321;8717.59501126109;509.443927503665
REGION DE FATICK;NIEBE;2019;12045.04;21280;566.026315789474
REGION DE FATICK;NIEBE;2020;20472.3389761342;23515.4732417365;870.590132959721
REGION DE FATICK;NIEBE;2021;21014.4234259664;24225.1948606364;867.461481604542
REGION DE FATICK;NIEBE;2022;14538.2032835393;23013.9351176046;631.71305599181
REGION DE FATICK;MANIOC;2017;29425;2800;10508.9285714286
REGION DE FATICK;MANIOC;2018;39927.5;3710;10762.1293800539
REGION DE FATICK;MANIOC;2019;46261.31;4390;10537.8838268793
REGION DE FATICK;MANIOC;2020;47758.9444290782;4541.12126080366;10516.9938625744
REGION DE FATICK;MANIOC;2021;51823.3152780895;4697.42425216073;11032.2833314985
REGION DE FATICK;MANIOC;2022;47446.0425216073;4774.62425216073;9937.12594245209
REGION DE FATICK;MAIS;2017;41506.3191248782;22611.3441817263;1835.64138386881
REGION DE FATICK;MAIS;2018;43073.525;23863.4;1805.00368765557
REGION DE FATICK;MAIS;2019;58072.7;31143;1864.71117104967
REGION DE FATICK;MAIS;2020;78931.282;34430;2292.51472553006
REGION DE FATICK;MAIS;2021;58624.0656931952;26519.8218690719;2210.57539460942
REGION DE FATICK;MAIS;2022;43038.4883152387;27327.3688363453;1574.92250984653
FATICK;ARACHIDE;2017;66953.0422213998;52266.2312423105;1281
FATICK;ARACHIDE;2018;61254;49800;1230
FATICK;ARACHIDE;2019;78000;65000;1200
FATICK;ARACHIDE;2020;59891.25042;49661.07;1206
FATICK;ARACHIDE;2021;72991.3218037485;49857.4602484621;1464
FATICK;ARACHIDE;2022;63980.2322981545;53316.8602484621;1200
FATICK;SORGHO;2017;2457.7;3511;700
FATICK;SORGHO;2018;2703.47;3862.1;700
FATICK;SORGHO;2019;3368.4;4812;700
FATICK;SORGHO;2020;7280.47725093229;5847.77289231509;1245
FATICK;SORGHO;2021;4754.1617184508;5393.15942681854;881.517
FATICK;SORGHO;2022;4314.52754145484;5393.15942681854;800
FATICK;RIZ;2017;6282;4188;1500
FATICK;RIZ;2019;4284.0044;2852.2;1502
FATICK;RIZ;2020;7418.32173;3795.8;1954.35
FATICK;RIZ;2021;5596.6624;3200;1748.957
FATICK;RIZ;2022;6053.025;3509;1725
FATICK;MIL;2017;104384.192277784;106514.481916106;980
FATICK;MIL;2018;90950;107000;850
FATICK;MIL;2019;85500;95000;900
FATICK;MIL;2020;79834.3944766707;80155.0145348099;996
FATICK;MIL;2021;79909.7196532036;87006.0174417719;918.439
FATICK;MIL;2022;75042.6900435283;87006.0174417719;862.5
FATICK;NIEBE;2017;1295.41077647483;2334.07347112582;555
FATICK;NIEBE;2018;1283.7404091192;2567.4808182384;500
FATICK;NIEBE;2019;3240;6480;500
FATICK;NIEBE;2020;8018.2013167205;8123.81085787285;987
FATICK;NIEBE;2021;6396;7800;820
FATICK;NIEBE;2022;4446;7410;600
FATICK;MANIOC;2017;20400;1700;12000
FATICK;MANIOC;2018;30000;2500;12000
FATICK;MANIOC;2019;32400;2700;12000
FATICK;MANIOC;2020;23257.6398264782;1832.12126080366;12694.378
FATICK;MANIOC;2021;27123.5152780895;2086.42425216073;13000
FATICK;MANIOC;2022;21636.2425216073;2163.62425216073;10000
FATICK;MAIS;2017;663;500;1326
FATICK;MAIS;2018;729.3;550;1326
FATICK;MAIS;2019;1911;1470;1300
FATICK;MAIS;2020;26035.339;8987;2897
FATICK;MAIS;2021;4601.86664068;2394.02;1922.234
FATICK;MAIS;2022;4548.638;2394.02;1900
FATICK;FONIO;2021;;;
FOUNDIOUGNE;ARACHIDE;2017;83413.1437844929;60313.1914566109;1383
FOUNDIOUGNE;ARACHIDE;2018;92398.5;61599;1500
FOUNDIOUGNE;ARACHIDE;2019;101250;75000;1350
FOUNDIOUGNE;ARACHIDE;2020;79171.788616103;58878.3654827788;1344.66689023933
FOUNDIOUGNE;ARACHIDE;2021;94976.533618829;66278.1113878779;1433
FOUNDIOUGNE;ARACHIDE;2022;80517.1392348474;64413.7113878779;1250
FOUNDIOUGNE;SORGHO;2017;4713;3142;1500
FOUNDIOUGNE;SORGHO;2018;4147.44;3456.2;1200
FOUNDIOUGNE;SORGHO;2019;6607.2;5506;1200
FOUNDIOUGNE;SORGHO;2020;7937.844;5678;1398
FOUNDIOUGNE;SORGHO;2021;5126.3900570622;4208.3526546784;1218.1465
FOUNDIOUGNE;SORGHO;2022;4617.942;4398.04;1050
FOUNDIOUGNE;RIZ;2017;6300;3500;1800
FOUNDIOUGNE;RIZ;2018;7400;3700;2000
FOUNDIOUGNE;RIZ;2019;5496.4224;2726.4;2016
FOUNDIOUGNE;RIZ;2020;9772.218;3942;2479
FOUNDIOUGNE;RIZ;2021;7988.32622848;3489.28;2289.391
FOUNDIOUGNE;RIZ;2022;7984.404;3471.48;2300
FOUNDIOUGNE;MIL;2017;70560.3796369193;55384.9133727781;1274
FOUNDIOUGNE;MIL;2018;71344;56000;1274
FOUNDIOUGNE;MIL;2019;82500;75000;1100
FOUNDIOUGNE;MIL;2020;86222.5;68978;1250
FOUNDIOUGNE;MIL;2021;84232.6219057207;58292.4719070732;1445
FOUNDIOUGNE;MIL;2022;93782.8190984607;62730.9826745556;1495
FOUNDIOUGNE;NIEBE;2017;324.323745092308;498.959607834319;650
FOUNDIOUGNE;NIEBE;2018;356.756119601538;548.855568617751;650
FOUNDIOUGNE;NIEBE;2019;5045.04;7280;693
FOUNDIOUGNE;NIEBE;2020;4878.261;5679;859
FOUNDIOUGNE;NIEBE;2021;6853;7700;890
FOUNDIOUGNE;NIEBE;2022;5120.5;7315;700
FOUNDIOUGNE;MANIOC;2017;3825;450;8500
FOUNDIOUGNE;MANIOC;2018;4207.5;495;8500
FOUNDIOUGNE;MANIOC;2019;5482.5;645;8500
FOUNDIOUGNE;MANIOC;2020;14662.3567146;1589;9227.4114
FOUNDIOUGNE;MANIOC;2021;14709.8;1501;9800
FOUNDIOUGNE;MANIOC;2022;14709.8;1501;9800
FOUNDIOUGNE;MAIS;2017;34548.5691248782;14917.3441817263;2316
FOUNDIOUGNE;MAIS;2018;35420;15400;2300
FOUNDIOUGNE;MAIS;2019;48392;21040;2300
FOUNDIOUGNE;MAIS;2020;41040.8;13456;3050
FOUNDIOUGNE;MAIS;2021;47924.3507712352;16033.6618690719;2988.9835
FOUNDIOUGNE;MAIS;2022;29913.5173472387;16169.4688363453;1850
FOUNDIOUGNE;FONIO;2021;;;
GOSSAS;ARACHIDE;2017;79737.98;65359;1220
GOSSAS;ARACHIDE;2018;74496;64000;1164
GOSSAS;ARACHIDE;2019;60500;55000;1100
GOSSAS;ARACHIDE;2020;92743.9838718066;80297.8215340317;1155
GOSSAS;ARACHIDE;2021;67041.6057141877;73672.094191415;910
GOSSAS;ARACHIDE;2022;74432.340737487;67665.7643068063;1100
GOSSAS;SORGHO;2017;1964.9;2807;700
GOSSAS;SORGHO;2018;3360;4200;800
GOSSAS;SORGHO;2019;4240;5300;800
GOSSAS;SORGHO;2020;5764.08;7896;730
GOSSAS;SORGHO;2021;3446.58619591776;4629.51843052673;744.4805
GOSSAS;SORGHO;2022;3748.78968;4966.6;754.8
GOSSAS;RIZ;2017;316.177981466667;210.785320977778;1500
GOSSAS;MIL;2017;14745.348056937;16890.4330549107;873
GOSSAS;MIL;2018;12188.7264973171;16251.6353297561;750
GOSSAS;MIL;2019;14000;20000;700
GOSSAS;MIL;2020;40903.2;45600;897
GOSSAS;MIL;2021;25450.7065630488;31584.0239697457;805.8095
GOSSAS;MIL;2022;29246.1745155051;31584.0239697457;925.98
GOSSAS;NIEBE;2017;1675.28553402657;5092.05329491358;329
GOSSAS;NIEBE;2018;2800.62931220247;5601.25862440494;500
GOSSAS;NIEBE;2019;3760;7520;500
GOSSAS;NIEBE;2020;7575.87665941369;9712.6623838637;780
GOSSAS;NIEBE;2021;7765.42342596644;8725.19486063644;890
GOSSAS;NIEBE;2022;4971.70328353925;8288.93511760462;599.8
GOSSAS;MANIOC;2017;5200;650;8000
GOSSAS;MANIOC;2018;5720;715;8000
GOSSAS;MANIOC;2019;8378.81;1045;8018
GOSSAS;MANIOC;2020;9838.947888;1120;8784.7749
GOSSAS;MANIOC;2021;9990;1110;9000
GOSSAS;MANIOC;2022;11100;1110;10000
GOSSAS;MAIS;2017;6294.75;7194;875
GOSSAS;MAIS;2018;6924.225;7913.4;875
GOSSAS;MAIS;2019;7769.7;8633;900
GOSSAS;MAIS;2020;11855.143;11987;989
GOSSAS;MAIS;2021;6097.84828128;8092.14;753.552
GOSSAS;MAIS;2022;8576.332968;8763.88;978.6
GOSSAS;FONIO;2021;;;
REGION DE KAFFRINE;ARACHIDE;2017;215592.035436377;200464.644907536;1075.46163831441
REGION DE KAFFRINE;ARACHIDE;2018;272570;209100;1303.53897656624
REGION DE KAFFRINE;ARACHIDE;2019;259460;222000;1168.73873873874
REGION DE KAFFRINE;ARACHIDE;2020;404051.2529787;228684.7953;1766.84791154849
REGION DE KAFFRINE;ARACHIDE;2021;341095.784859997;225676.488186749;1511.4369582787
REGION DE KAFFRINE;ARACHIDE;2022;304184.954809367;228367.677139986;1331.99653566956
REGION DE KAFFRINE;SORGHO;2017;62497.7164;54489.38;1146.97059133358
REGION DE KAFFRINE;SORGHO;2018;78418.70515;58988.318;1329.39381573823
REGION DE KAFFRINE;SORGHO;2019;76868.4;61800;1243.82524271845
REGION DE KAFFRINE;SORGHO;2020;96236.938;66884;1438.86337539621
REGION DE KAFFRINE;SORGHO;2021;99607.2251174463;67309.4547310409;1479.8400241907
REGION DE KAFFRINE;SORGHO;2022;109267.135200951;64775.301108424;1686.86418019199
REGION DE KAFFRINE;RIZ;2017;799.296610627259;659.643808255308;1211.70941138873
REGION DE KAFFRINE;RIZ;2018;288.601910588235;288.601910588235;1000
REGION DE KAFFRINE;RIZ;2019;248.674;492;505.434959349594
REGION DE KAFFRINE;RIZ;2020;562.013124312144;614.406171341923;914.725714887681
REGION DE KAFFRINE;RIZ;2021;258.910203897864;280.544457099562;922.884759779729
REGION DE KAFFRINE;RIZ;2022;648.36823539412;440.284711384708;1472.61128680799
REGION DE KAFFRINE;MIL;2017;137899.99963939;134112.491354273;1028.24127899549
REGION DE KAFFRINE;MIL;2018;204340.214495332;154147.421072205;1325.6155248917
REGION DE KAFFRINE;MIL;2019;171559.7;148758;1153.28049583888
REGION DE KAFFRINE;MIL;2020;264537.288;171685;1540.82935608818
REGION DE KAFFRINE;MIL;2021;217546.325900793;149983.961124305;1450.46393140992
REGION DE KAFFRINE;MIL;2022;248648.370358109;150011.343707738;1657.53045211396
REGION DE KAFFRINE;NIEBE;2017;645.570275726785;1564.24216070745;412.704817670186
REGION DE KAFFRINE;NIEBE;2018;1399.08273935843;2549.11768585298;548.849802864346
REGION DE KAFFRINE;NIEBE;2019;1727.70799;2821.19;612.403982007593
REGION DE KAFFRINE;NIEBE;2020;1998.46022704849;2808.07803680233;711.682581771915
REGION DE KAFFRINE;NIEBE;2021;3260.3960624415;3042.52557667255;1071.60843196829
REGION DE KAFFRINE;NIEBE;2022;2018.25081106328;2667.68507667255;756.555122908539
REGION DE KAFFRINE;MANIOC;2017;3646.11292659309;309.155646329655;11793.7775676438
REGION DE KAFFRINE;MANIOC;2018;2909.48682383164;354.23200096262;8213.50644754047
REGION DE KAFFRINE;MANIOC;2019;6138.9;641;9577.06708268331
REGION DE KAFFRINE;MANIOC;2020;6505.93216470741;660.39108672046;9851.63533477753
REGION DE KAFFRINE;MANIOC;2021;6805.97572774736;624.300543130264;10901.7616637365
REGION DE KAFFRINE;MANIOC;2022;5910.59180044884;521.142806052547;11341.5972201924
REGION DE KAFFRINE;MAIS;2017;46784.6177866013;31675.6076373439;1476.99195930955
REGION DE KAFFRINE;MAIS;2018;64083.87856;36130.16;1773.69484552518
REGION DE KAFFRINE;MAIS;2019;50022;35520;1408.27702702703
REGION DE KAFFRINE;MAIS;2020;70152.813;39417;1779.76033183652
REGION DE KAFFRINE;MAIS;2021;81216.7388045711;42594.85476486;1906.7265108173
REGION DE KAFFRINE;MAIS;2022;116470.9399;42580.434;2735.31594111981
BIRKILANE;ARACHIDE;2017;44933.07;42510;1057
BIRKILANE;ARACHIDE;2018;77250;51500;1500
BIRKILANE;ARACHIDE;2019;66000;55000;1200
BIRKILANE;ARACHIDE;2020;89967.090465;48136.485;1869
BIRKILANE;ARACHIDE;2021;59874.456719323;48581.297;1232.459
BIRKILANE;ARACHIDE;2022;63889.1461;49145.497;1300
BIRKILANE;SORGHO;2017;9761.727;7729;1263
BIRKILANE;SORGHO;2018;10737.8997;8501.9;1263
BIRKILANE;SORGHO;2019;12350;9500;1300
BIRKILANE;SORGHO;2020;23001.993;14679;1567
BIRKILANE;SORGHO;2021;19871.5233175059;12582.8226404463;1579.258
BIRKILANE;SORGHO;2022;15539.7859609512;11953.681508424;1300
BIRKILANE;RIZ;2017;202.658529284443;101.329264642221;2000
BIRKILANE;RIZ;2019;77.44;121;640
